date,available_spots
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,161
10/29/2017,156
10/29/2017,153
10/29/2017,142
10/29/2017,139
10/29/2017,136
10/29/2017,133
10/30/2017,131
10/30/2017,134
10/30/2017,132
10/30/2017,131
10/30/2017,127
10/30/2017,130
10/30/2017,133
10/30/2017,133
10/30/2017,134
10/30/2017,137
10/30/2017,144
10/30/2017,148
10/30/2017,151
10/30/2017,154
10/30/2017,155
10/30/2017,155
10/31/2017,154
10/31/2017,148
10/31/2017,140
10/31/2017,132
10/31/2017,130
10/31/2017,129
10/31/2017,128
10/31/2017,128
10/31/2017,130
10/31/2017,125
10/31/2017,129
10/31/2017,125
10/31/2017,97
11/1/2017,112
11/1/2017,123
11/1/2017,126
11/1/2017,129
11/1/2017,132
11/1/2017,141
11/1/2017,144
11/1/2017,149
11/1/2017,156
11/2/2017,157
11/2/2017,157
11/2/2017,154
11/2/2017,142
11/2/2017,136
11/2/2017,129
11/2/2017,122
11/2/2017,115
11/2/2017,109
11/2/2017,105
11/3/2017,102
11/3/2017,104
11/3/2017,109
11/3/2017,112
11/3/2017,128
11/3/2017,158
11/3/2017,161
11/3/2017,161
11/3/2017,161
11/3/2017,161
11/3/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,151
11/4/2017,141
11/4/2017,126
11/4/2017,93
11/4/2017,82
11/4/2017,69
11/4/2017,45
11/4/2017,31
11/4/2017,49
11/4/2017,41
11/4/2017,114
11/4/2017,153
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/4/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,161
11/5/2017,126
11/5/2017,88
11/5/2017,66
11/5/2017,53
11/5/2017,49
11/5/2017,51
11/5/2017,46
11/5/2017,48
11/5/2017,65
11/5/2017,121
11/5/2017,143
11/5/2017,149
11/5/2017,150
11/5/2017,151
11/5/2017,152
11/5/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,153
11/6/2017,143
11/6/2017,133
11/6/2017,121
11/6/2017,113
11/6/2017,113
11/6/2017,109
11/6/2017,108
11/6/2017,106
11/6/2017,105
11/6/2017,106
11/6/2017,111
11/6/2017,110
11/6/2017,115
11/6/2017,116
11/6/2017,122
11/6/2017,126
11/6/2017,133
11/7/2017,136
11/7/2017,141
11/7/2017,149
11/7/2017,152
11/7/2017,161
11/7/2017,161
11/7/2017,161
